nom,categorie,couleur,saison,style
T-shirt blanc basique,Haut,Blanc,Été,Casual
Jean bleu slim,Bas,Bleu,Toute saison,Casual
Veste en cuir noir,Haut,Noir,Hiver,Rock
Robe fleurie d'été,Haut,Multicolore,Été,Bohème
Baskets blanches,Chaussures,Blanc,Toute saison,Sport
Pull en laine beige,Haut,Beige,Hiver,Cocooning
Short en jean,Bas,Bleu clair,Été,Casual
Chemise en lin bleue,Haut,Bleu ciel,Printemps,Chic
Pantalon chino beige,Bas,Beige,Automne,Chic
Bottes en cuir marron,Chaussures,Marron,Hiver,Classique
Cardigan gris,Haut,Gris,Automne,Casual
Jupe patineuse noire,Bas,Noir,Printemps,Chic
Sweat à capuche noir,Haut,Noir,Hiver,Sport
Sandales en cuir,Chaussures,Naturel,Été,Bohème
Manteau long gris,Haut,Gris,Hiver,Classique
